what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302901454609
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901456937
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901483328
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901489296
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901498265
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302901500765
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302901501156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302901502312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901506703
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901507890
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901507890
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901518734
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901521218
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901537140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901538187
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901538203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901549312
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901550343
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901550484
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901555453
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901557437
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901560640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901574437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901587500
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901639078
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901653062
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901672015
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901675093
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302901678906
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302901686484
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302901702640
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901703781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901711265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901728406
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901736875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901739203
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901744421
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302901759468
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901761468
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901767343
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302901768156
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302901770000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901794078
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302901803734
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302901805375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302901807921
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302901808109
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302901808234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302901808390
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302901808562
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302901808984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901814578
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302901822593
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302901826453
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901834640
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302901839703
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302901842703
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302901846859
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302901857812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302901859265
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902108296
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902120812
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902123250
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302902127703
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902130718
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902130718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902130812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902131406
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902132125
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902144453
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1302902148937
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902157687
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302902182828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302902195156
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902212203
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302902255750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902274218
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902308828
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902309468
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902310328
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902322750
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902334734
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902400671
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902415500
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302902418671
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902421546
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902435687
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902451750
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902452625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902455281
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902455281
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902455375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902471234
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902472828
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902473921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902478187
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302902480921
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902486531
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902489437
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902515765
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902523125
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302902567828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302902573125
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902608828
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1302902643140
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902691781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1302902693625
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902699421
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902712796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902713578
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1302902728828
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902773859
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302902846015
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1302902849046
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302902849875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302902903515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1302902911000
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1302902914515
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302902952671
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1302902960203
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302902960218
closed,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1302902960234
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1302902963140
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1302902963140
closed,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1302902963156
started,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1302902963203
